client-id,round_number,workload,bg-workload,computation-time,client-queue-delay,propagation-delay,station-queue-delay
5,1,26171904,67,0.135145082,0.017657216,0.001027007,0.005501657
14,1,211318720,67,0.257747398,0.142569611,0.001027007,0.214771867
1,1,26171904,67,0.414616183,0.017657216,0.001027007,0.336169372
20,1,211318720,67,0.308096355,0.142569611,0.001027007,0.416237918
21,1,211318720,67,0.332904157,0.142569611,0.001027007,0.507310856
26,1,211318720,67,0.360192722,0.142569611,0.001027007,0.596311607
2,1,26171904,67,0.492989522,0.017657216,0.001027007,0.620265672
18,1,211318720,67,0.374381926,0.142569611,0.001027007,0.635070083
12,1,211318720,67,0.376689024,0.142569611,0.001027007,0.638964844
16,1,211318720,67,0.418726426,0.142569611,0.001027007,0.681026834
28,1,211318720,67,0.426665275,0.142569611,0.001027007,0.688070122
19,1,211318720,67,0.562257783,0.142569611,0.001027007,0.814141941
17,1,211318720,67,0.617735021,0.142569611,0.001027007,0.908274481
10,1,26171904,67,0.804402186,0.017657216,0.001027007,1.023206761
23,1,211318720,67,0.683444626,0.142569611,0.001027007,1.029912083
29,1,211318720,67,0.692918043,0.142569611,0.001027007,1.038919747
7,1,26171904,67,0.873091868,0.017657216,0.001027007,1.092604852
13,1,211318720,67,0.757839906,0.142569611,0.001027007,1.102472728
11,1,211318720,67,0.854817357,0.142569611,0.001027007,1.135508646
22,1,211318720,67,1.090791124,0.142569611,0.001027007,1.191326030
25,1,211318720,67,1.202583736,0.142569611,0.001027007,1.301329866
24,1,211318720,67,1.203282499,0.142569611,0.001027007,1.301581734
3,1,26171904,67,1.767558610,0.017657216,0.001027007,1.171511568
6,1,26171904,67,1.780027787,0.017657216,0.001027007,1.175704812
15,1,211318720,67,2.052290853,0.142569611,0.001027007,1.201326148
27,1,211318720,67,2.106829225,0.142569611,0.001027007,1.220593500
30,1,211318720,67,2.508185235,0.142569611,0.001027007,1.185060068
8,1,26171904,67,5.741778901,0.017657216,0.001027007,0.165125485
9,1,26171904,67,8.454147344,0.017657216,0.001027007,0.006270713
4,1,26171904,67,8.878965573,0.017657216,0.001027007,0.000005291
