client-id,round_number,workload,bg-workload,computation-time,client-queue-delay,propagation-delay,station-queue-delay
6,1,211318720,67,0.410910294,0.142569611,0.031160232,0.060121689
49,1,211318720,67,0.534479098,0.142569611,0.031160232,0.252006741
47,1,211318720,67,0.565272378,0.142569611,0.031160232,0.352842642
4,1,211318720,67,0.604034417,0.142569611,0.031160232,0.489209633
42,1,211318720,67,0.641623994,0.142569611,0.031160232,0.650777259
31,1,211318720,67,0.671439660,0.142569611,0.031160232,0.825885479
30,1,211318720,67,0.682256393,0.142569611,0.031160232,0.894178804
2,1,211318720,67,0.690891841,0.142569611,0.031160232,0.946850801
19,1,211318720,67,0.716840901,0.142569611,0.031160232,1.093700995
1,1,211318720,67,0.757077246,0.142569611,0.031160232,1.336779153
29,1,211318720,67,0.760335196,0.142569611,0.031160232,1.355323866
36,1,211318720,67,0.768424935,0.142569611,0.031160232,1.395846579
15,1,211318720,67,0.778763263,0.142569611,0.031160232,1.440930772
11,1,211318720,67,0.788892810,0.142569611,0.031160232,1.478204051
22,1,211318720,67,0.803153961,0.142569611,0.031160232,1.521170986
21,1,211318720,67,0.810630193,0.142569611,0.031160232,1.538493207
45,1,211318720,67,0.827545898,0.142569611,0.031160232,1.565952293
43,1,211318720,67,0.865928114,0.142569611,0.031160232,1.603828057
28,1,211318720,67,0.872011673,0.142569611,0.031160232,1.605987368
27,1,211318720,67,1.046953795,0.142569611,0.031160232,1.644662330
48,1,211318720,67,1.301035340,0.142569611,0.031160232,1.739613812
20,1,211318720,67,1.384278855,0.142569611,0.031160232,1.917381527
3,1,211318720,67,1.398741061,0.142569611,0.031160232,1.941809411
7,1,211318720,67,1.419637325,0.142569611,0.031160232,1.963349432
35,1,211318720,67,1.468820785,0.142569611,0.031160232,1.980409474
17,1,211318720,67,1.664251961,0.142569611,0.031160232,2.101363723
13,1,211318720,67,1.672369016,0.142569611,0.031160232,2.104219280
8,1,211318720,67,1.881445963,0.142569611,0.031160232,2.438875201
32,1,211318720,67,1.887197197,0.142569611,0.031160232,2.452100074
24,1,211318720,67,1.893408300,0.142569611,0.031160232,2.462622926
38,1,211318720,67,1.924759891,0.142569611,0.031160232,2.494500352
39,1,211318720,67,1.926170037,0.142569611,0.031160232,2.494900584
16,1,211318720,67,2.077180207,0.142569611,0.031160232,2.552972690
33,1,211318720,67,2.201981093,0.142569611,0.031160232,2.643927467
41,1,211318720,67,2.269172408,0.142569611,0.031160232,2.710702977
40,1,211318720,67,2.354890841,0.142569611,0.031160232,2.802618995
34,1,211318720,67,2.401604127,0.142569611,0.031160232,2.863116983
37,1,211318720,67,2.487755902,0.142569611,0.031160232,2.949858459
46,1,211318720,67,2.521808510,0.142569611,0.031160232,2.982912792
12,1,211318720,67,2.631919953,0.142569611,0.031160232,3.159705609
25,1,211318720,67,2.684675523,0.142569611,0.031160232,3.247947629
10,1,211318720,67,2.694595306,0.142569611,0.031160232,3.257476506
14,1,211318720,67,2.734565639,0.142569611,0.031160232,3.271693135
18,1,211318720,67,2.946795598,0.142569611,0.031160232,3.297254355
23,1,211318720,67,4.725157087,0.142569611,0.031160232,2.899781691
9,1,211318720,67,4.731313647,0.142569611,0.031160232,2.902126596
5,1,211318720,67,5.033829666,0.142569611,0.031160232,2.897018190
44,1,211318720,67,5.709857433,0.142569611,0.031160232,2.771038284
50,1,211318720,67,6.815357593,0.142569611,0.031160232,2.501758916
26,1,211318720,67,12.499404580,0.142569611,0.031160232,0.614775221
6,2,211318720,67,0.410910294,0.142569611,0.025949739,0.058871784
49,2,211318720,67,0.534479098,0.142569611,0.025949739,0.250147667
47,2,211318720,67,0.565272378,0.142569611,0.025949739,0.349954207
4,2,211318720,67,0.604034417,0.142569611,0.025949739,0.486053845
42,2,211318720,67,0.641623994,0.142569611,0.025949739,0.647382958
31,2,211318720,67,0.671439660,0.142569611,0.025949739,0.823454595
30,2,211318720,67,0.682256393,0.142569611,0.025949739,0.891833275
2,2,211318720,67,0.690891841,0.142569611,0.025949739,0.944564014
19,2,211318720,67,0.716840901,0.142569611,0.025949739,1.090631122
1,2,211318720,67,0.757077246,0.142569611,0.025949739,1.332607221
29,2,211318720,67,0.760335196,0.142569611,0.025949739,1.351075667
36,2,211318720,67,0.768424935,0.142569611,0.025949739,1.391322662
15,2,211318720,67,0.778763263,0.142569611,0.025949739,1.436276746
11,2,211318720,67,0.788892810,0.142569611,0.025949739,1.473289890
22,2,211318720,67,0.803153961,0.142569611,0.025949739,1.516294731
21,2,211318720,67,0.810630193,0.142569611,0.025949739,1.534275491
45,2,211318720,67,0.827545898,0.142569611,0.025949739,1.563039384
43,2,211318720,67,0.865928114,0.142569611,0.025949739,1.601450690
28,2,211318720,67,0.872011673,0.142569611,0.025949739,1.603755658
27,2,211318720,67,1.046953795,0.142569611,0.025949739,1.643299866
48,2,211318720,67,1.301035340,0.142569611,0.025949739,1.739036373
20,2,211318720,67,1.384278855,0.142569611,0.025949739,1.915276874
3,2,211318720,67,1.398741061,0.142569611,0.025949739,1.939171873
7,2,211318720,67,1.419637325,0.142569611,0.025949739,1.960525046
35,2,211318720,67,1.468820785,0.142569611,0.025949739,1.975956143
17,2,211318720,67,1.664251961,0.142569611,0.025949739,2.096078273
13,2,211318720,67,1.672369016,0.142569611,0.025949739,2.098816671
8,2,211318720,67,1.881445963,0.142569611,0.025949739,2.436159949
32,2,211318720,67,1.887197197,0.142569611,0.025949739,2.449322987
24,2,211318720,67,1.893408300,0.142569611,0.025949739,2.459666740
38,2,211318720,67,1.924759891,0.142569611,0.025949739,2.491097737
39,2,211318720,67,1.926170037,0.142569611,0.025949739,2.491396327
16,2,211318720,67,2.077180207,0.142569611,0.025949739,2.549365223
