client-id,round_number,workload,bg-workload,computation-time,client-queue-delay,propagation-delay,station-queue-delay
4,1,211318720,67,0.234315817,0.142569611,0.024723243,0.301163872
10,1,211318720,67,0.256746962,0.142569611,0.024723243,0.394080300
11,1,211318720,67,0.307296145,0.142569611,0.024723243,0.579481642
16,1,211318720,67,0.308736619,0.142569611,0.024723243,0.583947187
8,1,211318720,67,0.320898793,0.142569611,0.024723243,0.612346311
2,1,211318720,67,0.322876307,0.142569611,0.024723243,0.615705498
6,1,211318720,67,0.366385622,0.142569611,0.024723243,0.660157932
18,1,211318720,67,0.383998747,0.142569611,0.024723243,0.674775602
9,1,211318720,67,0.513365802,0.142569611,0.024723243,0.833538644
7,1,211318720,67,0.546457903,0.142569611,0.024723243,0.904942742
13,1,211318720,67,0.610218416,0.142569611,0.024723243,1.011734578
19,1,211318720,67,0.639616655,0.142569611,0.024723243,1.040557896
3,1,211318720,67,0.663109918,0.142569611,0.024723243,1.059474816
1,1,211318720,67,0.789062176,0.142569611,0.024723243,1.101407668
12,1,211318720,67,0.945352308,0.142569611,0.024723243,1.181920896
14,1,211318720,67,1.031384999,0.142569611,0.024723243,1.249531070
15,1,211318720,67,1.116684898,0.142569611,0.024723243,1.278323143
5,1,211318720,67,1.824258536,0.142569611,0.024723243,1.185006668
17,1,211318720,67,1.896146303,0.142569611,0.024723243,1.209879953
20,1,211318720,67,2.257366711,0.142569611,0.024723243,1.089190696
19,2,211318720,67,0.237772175,0.142569611,0.004175439,0.348211338
16,2,211318720,67,0.260706753,0.142569611,0.004175439,0.417483057
4,2,211318720,67,0.267160196,0.142569611,0.004175439,0.432822116
18,2,211318720,67,0.301070971,0.142569611,0.004175439,0.508633396
12,2,211318720,67,0.302606758,0.142569611,0.004175439,0.512266488
3,2,211318720,67,0.319290461,0.142569611,0.004175439,0.540220506
7,2,211318720,67,0.423346588,0.142569611,0.004175439,0.665498420
13,2,211318720,67,0.434644119,0.142569611,0.004175439,0.676860992
8,2,211318720,67,0.535153629,0.142569611,0.004175439,0.807164639
6,2,211318720,67,0.615215811,0.142569611,0.004175439,1.006780893
14,2,211318720,67,0.620453832,0.142569611,0.004175439,1.022454612
20,2,211318720,67,0.661357665,0.142569611,0.004175439,1.121964262
