client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end
f1008_28,1,,365,train,26414840,26414840,4224964800,2.036445327103138,57.63530404493213,59.671749372035265
f3563_46,1,,180,train,26414840,26414840,2112482400,1.0166687220335007,59.685184268280864,60.701852990314364
f1182_38,1,,351,train,26414840,26414840,4092934650,1.946650555357337,60.71797225624323,62.664622811600566
f1022_17,1,,275,train,26414840,26414840,3168723600,1.5184848476201296,62.682332284748554,64.20081713236868
f2520_64,1,,179,train,26414840,26414840,2112482400,1.0009265299886465,64.21405498683453,65.21498151682317
f2483_64,1,,170,train,26414840,26414840,1980452250,0.9562888108193874,65.23043279722333,66.18672160804272
f0089_16,1,,369,train,26414840,26414840,4356994950,2.047710783779621,66.2030059043318,68.25071668811142
f3730_33,1,,172,train,26414840,26414840,1980452250,0.9634368401020765,68.2672257758677,69.23066261596978
f2186_55,1,,172,train,26414840,26414840,1980452250,0.9623754564672709,69.24797821976244,70.21035367622972
f1810_02,1,,109,train,26414840,26414840,1188271350,0.6066030953079462,70.22759799286723,70.83420108817518
f3319_48,1,,159,train,26414840,26414840,1848422100,0.896205510944128,70.85142904520035,71.74763455614448
f3454_44,1,,128,train,26414840,26414840,1452331650,0.7187905833125114,71.76456589996815,72.48335648328066
f0058_07,1,,272,train,26414840,26414840,3168723600,1.5053307730704546,72.49996239878237,74.00529317185283
f1897_40,1,,149,train,26414840,26414840,1716391950,0.8367232885211706,74.02230113185942,74.85902442038059
f3924_24,1,,173,train,26414840,26414840,1980452250,0.9620348885655403,74.8767730332911,75.83880792185664
f1579_11,1,,173,train,26414840,26414840,1980452250,0.962142376229167,75.85559669137001,76.81773906759918
f0618_44,1,,248,train,26414840,26414840,2904663300,1.3853026516735554,76.834298113361,78.21960076503456
f0240_02,1,,108,train,26414840,26414840,1188271350,0.6044063791632652,78.2328285370022,78.83723491616547
f1158_21,1,,232,train,26414840,26414840,2640603000,1.2760026473551989,78.85427076928318,80.13027341663837
f0981_17,1,,339,train,26414840,26414840,3960904500,1.8768922444432974,80.147037088871,82.0239293333143
f1336_30,1,,262,train,26414840,26414840,3036693450,1.4522521272301674,82.0371373090893,83.48938943631947
f0690_26,1,,193,train,26414840,26414840,2244512550,1.0789842624217272,83.50268087722361,84.58166513964534
f0048_00,1,,132,train,26414840,26414840,1452331650,0.7289517037570477,84.5950095448643,85.32396124862134
f2148_78,1,,178,train,26414840,26414840,2112482400,0.9813499599695206,85.34124884009361,86.32259880006313
f1128_24,1,,110,train,26414840,26414840,1188271350,0.616196122020483,86.33929707482457,86.95549319684505
f2328_92,1,,167,train,26414840,26414840,1980452250,0.9180508516728878,86.96868276037276,87.88673361204565
f2557_98,1,,174,train,26414840,26414840,1980452250,0.9649313800036907,87.9001045357436,88.86503591574728
f1724_42,1,,160,train,26414840,26414840,1848422100,0.8971560392528772,88.88184725306928,89.77900329232216
f2339_76,1,,176,train,26414840,26414840,1980452250,0.9783345349133015,89.7957579176873,90.7740924526006
f3814_43,1,,180,train,26414840,26414840,2112482400,1.0136282723397017,90.78742863982916,91.80105691216886
f0467_18,1,,303,train,26414840,26414840,3564814050,1.683414427563548,91.8182902764529,93.50170470401645
f1054_20,1,,282,train,26414840,26414840,3300753750,1.5692831259220839,93.51515099033713,95.08443411625922
f3136_07,1,,179,train,26414840,26414840,2112482400,0.9998065736144781,95.1018546000123,96.10166117362678
f0800_00,1,,278,train,26414840,26414840,3300753750,1.5271174237132072,96.11504981294274,97.64216723665595
f0114_20,1,,302,train,26414840,26414840,3564814050,1.7149832490831614,97.65916136093438,99.37414461001754
f0787_21,1,,275,train,26414840,26414840,3168723600,1.5178490038961172,99.3912493288517,100.90909833274782
f3733_48,1,,182,train,26414840,26414840,2112482400,1.0172508154064417,100.92591618932784,101.94316700473428
